"Date","Price","Open","High","Low","Vol.","Change %"
"10/18/2023","10.00","10.30","10.30","9.90","280.15K","-1.96%"
"10/17/2023","10.20","10.20","10.30","10.10","1.60M","0.00%"
"10/16/2023","10.20","10.60","10.70","10.20","3.11M","-3.77%"
"10/13/2023","10.60","10.30","10.70","10.30","33.17K","1.92%"
"10/12/2023","10.40","10.50","10.60","10.40","77.59K","-0.95%"
"10/11/2023","10.50","10.80","10.80","10.40","146.43K","-0.94%"
"10/10/2023","10.60","10.70","10.90","10.60","12.57K","-0.93%"
"10/09/2023","10.70","10.70","10.80","10.60","65.75K","-0.93%"
"10/06/2023","10.80","10.90","11.00","10.80","12.17K","-0.92%"
"10/05/2023","10.90","10.90","10.90","10.80","4.77K","0.00%"
"10/04/2023","10.90","10.90","11.00","10.70","1.92M","0.00%"
"10/03/2023","10.90","10.70","10.90","10.70","22.56K","0.93%"
"10/02/2023","10.80","11.00","11.00","10.70","272.90K","-1.82%"
"09/27/2023","11.00","11.00","11.00","10.80","115.66K","0.92%"
"09/26/2023","10.90","10.90","11.00","10.80","10.72K","0.93%"
"09/25/2023","10.80","10.90","11.00","10.80","44.22K","-1.82%"
"09/22/2023","11.00","11.00","11.10","10.80","265.13K","-2.65%"
"09/21/2023","11.30","11.20","11.40","11.00","27.14K","2.73%"
"09/20/2023","11.00","11.20","11.30","11.00","61.09K","-0.90%"
"09/19/2023","11.10","11.40","11.40","10.90","151.09K","0.00%"
"09/18/2023","11.10","11.30","11.40","11.10","43.89K","-0.89%"
"09/15/2023","11.20","11.30","11.40","11.10","1.79M","-2.61%"
"09/14/2023","11.50","11.30","11.50","11.20","9.45K","2.68%"
"09/13/2023","11.20","11.20","11.40","11.20","433.56K","-0.88%"
"09/12/2023","11.30","11.50","11.50","11.20","42.81K","-1.74%"
"09/11/2023","11.50","11.30","11.50","11.10","121.59K","2.68%"
"09/08/2023","11.20","11.30","11.50","11.20","1.14M","0.00%"
"09/07/2023","11.20","11.10","11.30","11.00","414.26K","0.90%"
"09/06/2023","11.10","11.20","11.30","11.10","538.63K","-0.89%"
"09/05/2023","11.20","11.40","11.40","11.20","43.74K","-1.75%"
"09/04/2023","11.40","11.40","11.40","11.30","12.92K","0.88%"
"09/01/2023","11.30","11.60","11.60","11.20","6.76K","-0.88%"
